state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
LA,8/1/2020,181.0,1.0,-91.840238,30.921314
MD,8/1/2020,115.0,1.0,-76.687282,38.946466
NY,8/1/2020,73.0,1.0,-75.59655,42.921241
OH,8/1/2020,72.0,1.0,-82.70936,40.415534
WA,8/1/2020,29.0,0.0,-120.592492,47.411715
CA,7/31/2020,827.0,19.0,-119.662127,37.211164
FL,7/31/2020,756.0,22.0,-82.420978,28.260731
GA,7/31/2020,238.0,16.0,-83.426574,32.638481
LA,7/31/2020,249.0,0.0,-91.840238,30.921314
MD,7/31/2020,69.0,1.0,-76.687282,38.946466
NY,7/31/2020,72.0,1.0,-75.59655,42.921241
OH,7/31/2020,68.0,1.0,-82.70936,40.415534
WA,7/31/2020,30.0,0.0,-120.592492,47.411715
CA,7/30/2020,786.0,23.0,-119.662127,37.211164
FL,7/30/2020,723.0,16.0,-82.420978,28.260731
GA,7/30/2020,248.0,17.0,-83.426574,32.638481
LA,7/30/2020,244.0,1.0,-91.840238,30.921314
MD,7/30/2020,64.0,0.0,-76.687282,38.946466
NY,7/30/2020,89.0,0.0,-75.59655,42.921241
OH,7/30/2020,81.0,2.0,-82.70936,40.415534
WA,7/30/2020,29.0,0.0,-120.592492,47.411715
CA,7/29/2020,824.0,8.0,-119.662127,37.211164
FL,7/29/2020,739.0,12.0,-82.420978,28.260731
GA,7/29/2020,224.0,18.0,-83.426574,32.638481
LA,7/29/2020,255.0,1.0,-91.840238,30.921314
MD,7/29/2020,59.0,2.0,-76.687282,38.946466
NY,7/29/2020,76.0,2.0,-75.59655,42.921241
OH,7/29/2020,103.0,1.0,-82.70936,40.415534
WA,7/29/2020,25.0,0.0,-120.592492,47.411715
CA,7/28/2020,871.0,14.0,-119.662127,37.211164
FL,7/28/2020,742.0,11.0,-82.420978,28.260731
GA,7/28/2020,249.0,9.0,-83.426574,32.638481
LA,7/28/2020,274.0,4.0,-91.840238,30.921314
MD,7/28/2020,68.0,2.0,-76.687282,38.946466
NY,7/28/2020,66.0,2.0,-75.59655,42.921241
OH,7/28/2020,123.0,1.0,-82.70936,40.415534
WA,7/28/2020,25.0,1.0,-120.592492,47.411715
CA,7/27/2020,720.0,8.0,-119.662127,37.211164
FL,7/27/2020,670.0,26.0,-82.420978,28.260731
GA,7/27/2020,197.0,6.0,-83.426574,32.638481
LA,7/27/2020,250.0,2.0,-91.840238,30.921314
MD,7/27/2020,66.0,0.0,-76.687282,38.946466
NY,7/27/2020,70.0,3.0,-75.59655,42.921241
OH,7/27/2020,141.0,6.0,-82.70936,40.415534
WA,7/27/2020,29.0,0.0,-120.592492,47.411715
CA,7/26/2020,705.0,11.0,-119.662127,37.211164
FL,7/26/2020,684.0,15.0,-82.420978,28.260731
GA,7/26/2020,244.0,19.0,-83.426574,32.638481
LA,7/26/2020,211.0,2.0,-91.840238,30.921314
MD,7/26/2020,57.0,0.0,-76.687282,38.946466
NY,7/26/2020,71.0,1.0,-75.59655,42.921241
