state,date,new_results_reported,total_results_reported,Longitude,Latitude
WA,1/1/2021,1402,184955,-120.592492,47.411715
NY,1/1/2021,12165,1130484,-75.59655,42.921241
MD,1/1/2021,5146,537017,-76.687282,38.946466
LA,1/1/2021,1973,411903,-91.840238,30.921314
OH,1/1/2021,5038,675177,-82.70936,40.415534
GA,1/1/2021,1395,560216,-83.426574,32.638481
FL,1/1/2021,8296,1823989,-82.420978,28.260731
CA,1/1/2021,43990,2428336,-119.662127,37.211164
WA,1/10/2021,1232,198439,-120.592492,47.411715
OH,1/10/2021,4200,730086,-82.70936,40.415534
NY,1/10/2021,15182,1263314,-75.59655,42.921241
MD,1/10/2021,6210,594529,-76.687282,38.946466
LA,1/10/2021,1613,441042,-91.840238,30.921314
GA,1/10/2021,3075,595773,-83.426574,32.638481
FL,1/10/2021,9608,1958063,-82.420978,28.260731
CA,1/10/2021,25548,2788435,-119.662127,37.211164
WA,1/11/2021,912,199351,-120.592492,47.411715
OH,1/11/2021,4141,734227,-82.70936,40.415534
NY,1/11/2021,14889,1278203,-75.59655,42.921241
MD,1/11/2021,5374,599903,-76.687282,38.946466
LA,1/11/2021,2815,443857,-91.840238,30.921314
GA,1/11/2021,7777,603550,-83.426574,32.638481
FL,1/11/2021,14434,1972497,-82.420978,28.260731
CA,1/11/2021,29214,2817649,-119.662127,37.211164
NY,1/12/2021,17984,1296187,-75.59655,42.921241
MD,1/12/2021,6176,606079,-76.687282,38.946466
LA,1/12/2021,2965,446822,-91.840238,30.921314
GA,1/12/2021,7600,611150,-83.426574,32.638481
FL,1/12/2021,16021,1988518,-82.420978,28.260731
CA,1/12/2021,33437,2851086,-119.662127,37.211164
WA,1/12/2021,1259,200610,-120.592492,47.411715
OH,1/12/2021,5738,739965,-82.70936,40.415534
LA,1/13/2021,3219,450041,-91.840238,30.921314
CA,1/13/2021,44884,2895970,-119.662127,37.211164
WA,1/13/2021,1569,202179,-120.592492,47.411715
OH,1/13/2021,6240,746205,-82.70936,40.415534
NY,1/13/2021,6994,1303181,-75.59655,42.921241
MD,1/13/2021,6871,612950,-76.687282,38.946466
FL,1/13/2021,16334,2004852,-82.420978,28.260731
GA,1/13/2021,6747,617897,-83.426574,32.638481
CA,1/14/2021,47249,2943219,-119.662127,37.211164
FL,1/14/2021,16087,2020939,-82.420978,28.260731
GA,1/14/2021,6817,624714,-83.426574,32.638481
LA,1/14/2021,2806,452847,-91.840238,30.921314
MD,1/14/2021,6056,619006,-76.687282,38.946466
OH,1/14/2021,5539,751744,-82.70936,40.415534
WA,1/14/2021,1327,203506,-120.592492,47.411715
NY,1/14/2021,10234,1313415,-75.59655,42.921241
LA,1/15/2021,2541,455388,-91.840238,30.921314
GA,1/15/2021,6493,631207,-83.426574,32.638481
FL,1/15/2021,14653,2035592,-82.420978,28.260731
MD,1/15/2021,6918,625924,-76.687282,38.946466
CA,1/15/2021,43646,2986865,-119.662127,37.211164
WA,1/15/2021,1212,204718,-120.592492,47.411715
OH,1/15/2021,4901,756645,-82.70936,40.415534
NY,1/15/2021,17414,1330829,-75.59655,42.921241
WA,1/16/2021,1183,205901,-120.592492,47.411715
OH,1/16/2021,4858,761503,-82.70936,40.415534
NY,1/16/2021,15134,1345963,-75.59655,42.921241
MD,1/16/2021,5553,631477,-76.687282,38.946466
GA,1/16/2021,4203,635410,-83.426574,32.638481
FL,1/16/2021,13387,2048979,-82.420978,28.260731
CA,1/16/2021,27576,3014441,-119.662127,37.211164
LA,1/16/2021,1603,456991,-91.840238,30.921314
OH,1/17/2021,2838,764341,-82.70936,40.415534
NY,1/17/2021,12507,1358470,-75.59655,42.921241
MD,1/17/2021,4391,635868,-76.687282,38.946466
LA,1/17/2021,1292,458283,-91.840238,30.921314
GA,1/17/2021,2680,638090,-83.426574,32.638481
CA,1/17/2021,20045,3034486,-119.662127,37.211164
